institution, ror, repository, count 
"University of Auckland",https://ror.org/03b94tp07,"Zürcher Hochschule für Angewandte Wissenschaften digital collection (Zurich University of Applied Sciences)",3,
"University of Auckland",https://ror.org/03b94tp07,"medRxiv (Cold Spring Harbor Laboratory)",171,
"University of Auckland",https://ror.org/03b94tp07,"Academica-e (Universidad Pública de Navarra)",2,
"University of Auckland",https://ror.org/03b94tp07,"Strathprints: The University of Strathclyde institutional repository (University of Strathclyde)",11,
"University of Auckland",https://ror.org/03b94tp07,"Lirias (KU Leuven)",13,
"University of Auckland",https://ror.org/03b94tp07,"Massey Research Online (Massey University)",12,
"University of Auckland",https://ror.org/03b94tp07,"UNICA IRIS Institutional Research Information System (University of Cagliari)",3,
"University of Auckland",https://ror.org/03b94tp07,"Cronfa (Swansea University)",10,
"University of Auckland",https://ror.org/03b94tp07,"Ulster University Research Portal (Ulster University)",6,
"University of Auckland",https://ror.org/03b94tp07,"VUBIR (Vrije Universiteit Brussel)",3,
"University of Auckland",https://ror.org/03b94tp07,"Purdue University Indianapolis (Indiana University)",1,
"University of Auckland",https://ror.org/03b94tp07,"Kent Academic Repository (University of Kent)",40,
"University of Auckland",https://ror.org/03b94tp07,"Dépôt institutionnel de l'Université libre de Bruxelles (Université Libre de Bruxelles)",6,
"University of Auckland",https://ror.org/03b94tp07,"Repositori UJI (Universitat Jaume I)",1,
"University of Auckland",https://ror.org/03b94tp07,"CorpusUL (Université Laval)",1,
"University of Auckland",https://ror.org/03b94tp07,"Scholarly Commons (University of Pennsylvania)",2,
"University of Auckland",https://ror.org/03b94tp07,"Hokkaido University Collection of Scholarly and Academic Papers (Hokkaido University)",3,
"University of Auckland",https://ror.org/03b94tp07,"eCommons (Cornell University)",3,
"University of Auckland",https://ror.org/03b94tp07,"Anet (University of Antwerp)",1,
"University of Auckland",https://ror.org/03b94tp07,"Scholarship at UWindsor (University of Windsor)",5,
"University of Auckland",https://ror.org/03b94tp07,"Own your potential (DEAKIN)",4,
"University of Auckland",https://ror.org/03b94tp07,"Brunel University Research Archive (BURA) (Brunel University London)",12,
"University of Auckland",https://ror.org/03b94tp07,"Edith Cowan University Research Online (Edith Cowan University)",2,
"University of Auckland",https://ror.org/03b94tp07,"UWC Research Repository (University of the Western Cape)",1,
"University of Auckland",https://ror.org/03b94tp07,"Stirling Online Research Repository (University of Stirling)",6,
"University of Auckland",https://ror.org/03b94tp07,"Nottingham Trent University's Institutional Repository (Nottingham Trent Repository)",5,
"University of Auckland",https://ror.org/03b94tp07,"OCAD University Open Research Repository (OCAD University)",1,
"University of Auckland",https://ror.org/03b94tp07,"Universiti Putra Malaysia Institutional Repository (Universiti Putra Malaysia)",14,
"University of Auckland",https://ror.org/03b94tp07,"Purdue e-Pubs (Purdue University System)",1,
"University of Auckland",https://ror.org/03b94tp07,"Bond University Research Portal (Bond University)",7,
"University of Auckland",https://ror.org/03b94tp07,"Pure (Coventry University)",6,
"University of Auckland",https://ror.org/03b94tp07,"Unitec Research Bank (Unitec Institute of Technology)",40,
"University of Auckland",https://ror.org/03b94tp07,"Institutional Archive of Ifremer (French Research Institute for Exploitation of the Sea)",3,
"University of Auckland",https://ror.org/03b94tp07,"Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)",15,
"University of Auckland",https://ror.org/03b94tp07,"Dublin City University Open Access Institutional Repository (Dublin City University)",18,
"University of Auckland",https://ror.org/03b94tp07,"Repositorio Institucional de la Universitat Politècnica (Universitat Politècnica de València)",1,
"University of Auckland",https://ror.org/03b94tp07,"MarXiv (OSF Preprints)",1,
"University of Auckland",https://ror.org/03b94tp07,"Open Research Online - ORO (The Open University)",26,
"University of Auckland",https://ror.org/03b94tp07,"Adelaide Research & Scholarship (AR&S) (University of Adelaide)",16,
"University of Auckland",https://ror.org/03b94tp07,"Research portal (Tilburg University)",2,
"University of Auckland",https://ror.org/03b94tp07,"Cork Open Research Archive (University College Cork, Ireland)",4,
"University of Auckland",https://ror.org/03b94tp07,"KTH Publication Database DiVA (KTH Royal Institute of Technology)",13,
"University of Auckland",https://ror.org/03b94tp07,"VU Research Repository (Victoria University)",4,
"University of Auckland",https://ror.org/03b94tp07,"UniSA Research Outputs Repository (University of South Australia)",13,
"University of Auckland",https://ror.org/03b94tp07,"PhilSci-Archive (University of Pittsburgh)",6,
"University of Auckland",https://ror.org/03b94tp07,"Research Repository (Delft University of Technology)",10,
"University of Auckland",https://ror.org/03b94tp07,"UTUPub (University of Turku)",2,
"University of Auckland",https://ror.org/03b94tp07,"Research Publications (Maastricht University)",6,
"University of Auckland",https://ror.org/03b94tp07,"Bournemouth University Research Online (Bournemouth University)",3,
"University of Auckland",https://ror.org/03b94tp07,"Huddersfield Research Portal (University of Huddersfield)",13,
"University of Auckland",https://ror.org/03b94tp07,"The Faculty Digital Archive (New York University)",2,
"University of Auckland",https://ror.org/03b94tp07,"Victoria University Research Repository (Victoria University)",2,
"University of Auckland",https://ror.org/03b94tp07,"NOVA (University of Newcastle, Australia)",3,
"University of Auckland",https://ror.org/03b94tp07,"KOPS (University of Konstanz)",4,
"University of Auckland",https://ror.org/03b94tp07,"Pacific Community (SPC) Oceanic Fisheries Programme (The Pacific Community (SPC))",1,
"University of Auckland",https://ror.org/03b94tp07,"University of Bedfordshire Repository (University of Bedfordshire)",5,
"University of Auckland",https://ror.org/03b94tp07,"National Research Council Canada (Government of Canada)",2,
"University of Auckland",https://ror.org/03b94tp07,"OPUS (Augsburg University)",3,
"University of Auckland",https://ror.org/03b94tp07,"Deakin Research Online (Deakin University)",14,
"University of Auckland",https://ror.org/03b94tp07,"Arrow@dit (Dublin Institute of Technology)",6,
"University of Auckland",https://ror.org/03b94tp07,"NCSU Libraries Repository (North Carolina State University Libraries)",7,
"University of Auckland",https://ror.org/03b94tp07,"Digital Commons@Trinity (Trinity University)",1,
"University of Auckland",https://ror.org/03b94tp07,"DORA PSI (Paul Scherrer Institute)",1,
"University of Auckland",https://ror.org/03b94tp07,"Repository of the Academy's Library (Library of the Hungarian Academy of Sciences)",5,
"University of Auckland",https://ror.org/03b94tp07,"Zurich Open Repository and Archive (University of Zurich)",7,
"University of Auckland",https://ror.org/03b94tp07,"ScholarWorks (Boise State University)",4,
"University of Auckland",https://ror.org/03b94tp07,"Scholar Works  (Boise State University)",4,
"University of Auckland",https://ror.org/03b94tp07,"Institutional Repository University of Antwerp (University of Antwerp)",2,
"University of Auckland",https://ror.org/03b94tp07,"Durham Research Online (Durham University)",19,
"University of Auckland",https://ror.org/03b94tp07,"RiuNet (Politechnical University of Valencia)",3,
"University of Auckland",https://ror.org/03b94tp07,"Virtual Community of Pathological Anatomy (University of Castilla La Mancha)",3,
"University of Auckland",https://ror.org/03b94tp07,"ORBi (University of Liège)",2,
"University of Auckland",https://ror.org/03b94tp07,"Wiardi Beckman Foundation (Wiardi Beckman Foundation)",10,
"University of Auckland",https://ror.org/03b94tp07,"idUS (Universidad de Sevilla)",1,
"University of Auckland",https://ror.org/03b94tp07,"Wintec Research Archive (Waikato Institute of Technology)",5,
"University of Auckland",https://ror.org/03b94tp07,"Bilkent University Institutional Repository (Bilkent University)",1,
"University of Auckland",https://ror.org/03b94tp07,"University of Southern Denmark Research Portal (University of Southern Denmark)",7,
"University of Auckland",https://ror.org/03b94tp07,"Institutional Research Information System (University of Udine)",2,
"University of Auckland",https://ror.org/03b94tp07,"DiVA (Linkoping University)",2,
"University of Auckland",https://ror.org/03b94tp07,"Archivio istituzionale della ricerca (Alma Mater Studiorum Università di Bologna)",2,
"University of Auckland",https://ror.org/03b94tp07,"Utah State Research and Scholarship (Utah State University)",2,
"University of Auckland",https://ror.org/03b94tp07,"PEARL (University of Plymouth)",7,
"University of Auckland",https://ror.org/03b94tp07,"UA Campus Repository (The University of Arizona)",2,
"University of Auckland",https://ror.org/03b94tp07,"KNAW Research Portal (The Royal Netherlands Academy of Arts and Sciences)",2,
"University of Auckland",https://ror.org/03b94tp07,"Teesside University Research Portal (Teesside University)",1,
"University of Auckland",https://ror.org/03b94tp07,"Lincoln University Research Archive (Lincoln University)",6,
"University of Auckland",https://ror.org/03b94tp07,"Research Padua  Archive (University of Padua)",2,
"University of Auckland",https://ror.org/03b94tp07,"eRepository Mondragon University (Mondragon University)",1,
"University of Auckland",https://ror.org/03b94tp07,"Research Square (Research Square)",288,
"University of Auckland",https://ror.org/03b94tp07,"Communities in ADDI (University of the Basque Country)",1,
"University of Auckland",https://ror.org/03b94tp07,"ResearchOnline - JCU (James Cook University)",5,
"University of Auckland",https://ror.org/03b94tp07,"CWI's Institutional Repository (Centrum Wiskunde & Informatica)",1,
"University of Auckland",https://ror.org/03b94tp07,"Open access LMU (Ludwid Maxmilian's Universitat Munchen)",1,
"University of Auckland",https://ror.org/03b94tp07,"Research Online (Edith Cowan University)",3,
"University of Auckland",https://ror.org/03b94tp07,"Columbia Academic Commons (Columbia University)",1,
"University of Auckland",https://ror.org/03b94tp07,"LSHTM Research Online
 (London School of Hygiene & Tropical Medicine)",7,
"University of Auckland",https://ror.org/03b94tp07,"Scholarship - Western (Western University)",6,
"University of Auckland",https://ror.org/03b94tp07,"BIROn (Birkbeck, University of London)",3,
"University of Auckland",https://ror.org/03b94tp07,"Conicet",2,
"University of Auckland",https://ror.org/03b94tp07,"KNAW research portal (Royal Academy of Art and Sciences (KNAW))",2,
"University of Auckland",https://ror.org/03b94tp07,"Leicester Research Archive (University of Leicester)",3,
"University of Auckland",https://ror.org/03b94tp07,"DORA WSL (Swiss Federal Institute for Forest, Snow and Landscape Research)",5,
"University of Auckland",https://ror.org/03b94tp07,"eScholarship@McGill (McGill)",2,
"University of Auckland",https://ror.org/03b94tp07,"Surrey Open Research repository (University of Surrey)",5,
